id,indivfinfeel,immfeel
1605,Great service,Fine
1606,It's okay but could be better,I have no opinion
1607,I pay too much taxes,Too much illegal immigration
1608,My financial situation has plummeted as the start of mid November of 2017. In 2018 I've noticed a dramatic difference on difficulty to catch up on late bills.,I don't agree with how our government is allowing the mass numbers of immigrants to enter. I think it should be difficult like it was 30 years ago. If immigrants want to flee to another country then they should have to fight for it like everyone else regardless of race/religion/ethnicity.
1609,It has great efforts,It feels like a new vote
1610,Living paycheque to paycheque!,Should have some limitations and not allow everyone!
1611,Bleak.,"If we could force them to settle in the north, to help develop our arctic regions, we would be a world superpower. Unfortunately, or fortunately depending on your view, we cannot do this. Only Toronto will continue to grow"
1612,Disaster. I just finished grad school so it's totally my fault,"We aren't at replacement level, so anti-immigration positions are misinformed and usually spouted by angry people with low IQs."
1613,Strained. Need more money,We allow too many of the wrong people.
1614,Good,Great country
1615,Comfortable and fairly content,"I think it is a positive, I really enjoy the melting pot culture that we have here"
1616,,
1617,Could be doing better.  Everything costs too much,Its fine.
1618,Coping,Welcomed
1619,Bad,Too many
1620,Ok,None
1621,,
1622,Neutral,Opens up opportunities for a new life
1623,,
1624,It pretty sad when I work because I am disabled so I can get by and I cannot even afford a 1 bedroom with what I get.,
1625,Could be better,Too many entering Canada
1626,,
1627,It needs to get better,Unsure about that
1628,It's good and I would like to keep it within reach,I agree with it.
1629,Better,Too much
1630,"It is stable, better than when Mike Harris was in the main seat","I feel it should be periodic and based on need. Everybody should have to apply. We should treat our nation as a country club would treat perspective members,  a trial run for first 2 years if no problem you are granted citizenship. If even one glitch deported back where they came ...1 strike or a zero tolerance policy - a referendum should be held to determine that or subsequent consequences that should apply"
1631,It is ok,Great idea
1632,Barely making it,"They need more opportunities to be accepted their field. Corporations are still ignoring their skills, trades, and experiences"
1633,It sucks. No jobs for people on disability those who want to work,I think we should do exactly what bushes doing send them back to you not her problem
1634,,
1635,Pay too much tax. They are wasting our money.,"They must be screened well and forced to

 spread out, not just settling in major cities"
1636,Bad bad bad,
1637,Fair,Not good
1638,,
1639,BAD,"NEED IT, HOW DID YOUR FAMILY GET HERE"
1640,,Good
1641,,
1642,,
1643,Pretty okay,Too easy
1644,I am living comfortably,They should screen immigrants properly
1645,It's ok,Need to be better
1646,,
1647,"Pretty good, I am living quite comfortably.","I feel like it is good up to a point. I do not think we should take in too many refugees, because they are costly to care for."
1648,"It's a situation all right.  The ""Shelter"" part of my ODSP benefits only covers 63% of my actual rent; and that's just one of many defects in the program.","That Canada should do more for Canadians before offering to support new immigrants. A severe shortage of affordable housing, and social & disability benefits that are so far below the poverty line that even food banks can't make a meaningful dent in the problem."
